node,Proportional,Uniform
333,354.9031,402.4612
334,869.7882,972.9120
335,357.5533,403.9356
336,297.2533,325.1846
337,503.2491,564.7627
338,652.1887,727.6523
339,575.0846,648.9999
340,430.8093,486.1145
341,311.5227,325.7686
342,250.0682,283.3138
343,648.3897,727.6523
344,258.9172,285.6573
345,825.4824,893.3755
346,767.3862,855.2179
347,394.4491,445.5148
348,504.2870,568.3885
349,287.5550,325.5747
350,444.5363,489.9203
351,736.4528,811.5927
352,540.3377,609.9633
353,748.4994,814.1292
354,471.5017,528.0811
355,291.9435,324.6959
356,452.4215,492.4437
357,873.4687,978.9631
358,435.8965,489.9199
359,293.6919,325.1846
360,520.2274,571.8979
361,920.4047,1016.4434
362,333.7219,366.1740
363,638.5493,697.7736
364,667.4223,737.2112
365,341.1428,369.8655
366,594.4672,654.2641
367,700.4366,778.5876
368,848.0014,902.4235
369,300.9861,326.7432
370,595.1662,653.5824
371,642.3806,699.5142
372,599.9283,655.5253
373,611.9312,656.6877
374,885.4470,984.5964
375,454.6313,491.2799
376,705.6072,744.2645
377,646.9375,697.7724
378,1149.9980,1275.3832
379,1048.2872,1155.1227
380,684.8703,742.9170
381,468.3048,497.2653
382,539.8056,580.1111
383,905.3799,989.2371
384,427.3999,456.4673
385,542.5539,577.7066
386,753.8084,826.7258
387,270.1871,290.6797
388,727.0114,784.3879
389,311.5955,333.0126
390,806.8435,873.5692
391,1593.5784,1657.9674
392,611.2984,664.9717
393,536.6958,580.7835
394,440.5241,459.0504
395,295.6815,292.6866
396,729.9005,789.9592
397,205.1924,209.3609
398,922.3306,999.4182
399,773.5942,832.9587
400,671.7751,711.4082
401,506.1913,542.4686
402,444.1372,460.9549
403,862.3580,914.3708
404,172.2074,167.9829
405,661.8678,711.6934
406,273.6885,252.3534
407,331.4038,336.6289
408,555.8232,584.9913
409,937.7365,960.0472
410,401.9860,337.4805
411,521.1120,546.7475
412,798.5750,841.1433
413,389.8129,418.5310
414,464.1301,464.3660
415,312.4665,335.0152
416,565.3059,589.8341
417,547.5229,587.7481
418,452.9948,463.8938
419,947.3212,965.5672
420,555.6214,588.8870
421,1100.7591,1177.3910
422,164.4224,169.2120
423,360.5427,338.8006
424,372.2925,296.5683
425,722.2358,758.8574
426,672.4655,717.6647
427,493.4975,508.5768
428,410.3004,424.1120
429,585.4767,467.8467
430,204.2514,170.0579
431,198.3680,170.1518
432,1059.5688,1101.4287
433,1395.4213,1475.6646
434,355.1635,340.1158
435,1023.3229,1054.8610
436,373.3567,383.5668
437,208.6072,212.7595
438,572.2498,593.7004
439,481.6703,384.5008
440,704.0695,722.0879
441,229.3756,213.3213
442,507.4810,512.0454
443,538.7562,428.5992
444,155.1130,128.3848
445,487.8676,510.5485
446,856.5423,854.3094
447,305.7288,299.5642
448,881.4935,934.6599
449,247.6394,254.8992
450,723.2211,724.8057
451,1150.9963,1147.8852
452,436.1801,343.4752
453,655.9732,680.8868
454,549.6541,515.8616
455,724.2703,727.5112
456,852.0424,894.0208
457,623.2678,641.7364
458,582.9274,598.4754
459,301.5936,299.8436
460,530.9101,514.7480
461,322.7916,301.0509
462,588.9534,517.3432
463,989.5492,1029.0286
464,703.2578,728.2573
465,964.8835,947.9833
466,516.1842,515.2120
467,471.8107,431.7511
468,806.3548,775.5065
469,1299.4541,1080.8066
470,369.4280,345.6039
471,425.1682,431.0117
472,972.0711,992.9050
473,1151.7247,1160.6624
474,883.4300,904.4463
475,634.0447,606.2585
476,1010.4085,1035.5179
477,1178.1508,1207.3459
478,518.5544,477.3113
479,693.8463,693.2346
480,682.8230,608.0957
481,454.6995,391.4363
482,344.7895,305.4666
483,550.7963,522.2199
484,809.9475,824.7545
485,874.6071,784.0606
486,424.1384,392.3511
487,290.5578,262.2062
488,1104.0026,1089.6187
489,1056.4587,1001.8186
490,900.7785,913.9292
491,665.3768,612.4817
492,1197.4640,1219.2120
493,289.9864,262.4794
494,337.6376,306.4686
495,1375.3486,1389.8631
496,526.3960,481.7883
497,575.9347,525.8679
498,338.8463,307.7391
499,340.4058,307.0136
500,1447.2681,1482.8793
501,239.5230,219.2179
502,342.9259,307.2859
503,649.4795,655.5605
504,472.8032,440.0666
505,237.0878,219.3087
506,467.6127,438.5257
507,641.4976,614.4811
508,198.3242,175.8639
509,217.4119,219.1269
510,246.0743,220.2143
511,391.8140,395.3536
512,613.2206,614.4811
513,1216.9685,1228.2334
514,49.6027,44.0790
515,935.3304,965.0260
516,49.6027,44.0790
517,391.7088,353.1728
518,567.2406,572.3030
519,283.9372,264.3834
520,526.6480,529.3980
521,49.2123,44.1692
522,1143.0502,1187.7792
523,466.1082,441.9604
524,596.9524,575.2766
525,481.0392,442.6796
526,794.2972,794.2310
527,680.2462,663.8859
528,869.3724,840.3818
529,885.7041,841.7296
530,667.8045,577.6088
531,583.6659,488.8216
532,2086.3794,1874.6983
533,1223.9853,1026.8945
534,153.3304,188.5323
535,155.4728,189.2531
536,356.8962,415.9858
537,246.4187,302.9282
538,246.1982,303.3389
539,252.0021,303.9552
540,310.6826,380.9689
541,281.0811,342.7696
542,289.1201,342.5645
543,282.8492,343.0768
544,344.5898,420.6003
545,381.0644,458.6972
546,318.1379,383.6255
547,221.3697,268.6194
548,220.8859,269.2302
549,189.8443,229.8080
550,159.3920,192.1184
551,348.2242,423.4541
552,222.5961,270.1452
553,482.3069,581.8355
554,261.4092,312.5929
555,191.7148,231.4371
556,213.8166,264.5220
557,379.2622,409.0123
558,150.6687,163.7604
559,75.4464,81.8802
560,301.0297,327.8115
561,74.5152,81.7831
562,188.8060,205.2336
563,75.3903,81.9772
564,353.6037,370.1550
565,150.1776,163.8574
566,341.9376,369.3814
567,359.9223,370.6385
568,151.8254,164.4385
569,114.3080,123.3531
570,233.3578,247.3817
571,286.7226,288.7570
572,400.3944,412.8815
573,351.2013,371.6031
574,537.0925,456.8505
575,666.2869,702.3123
576,317.8346,289.9121
577,401.8728,373.1418
578,286.3899,249.1131
579,141.5686,124.7003
580,497.7643,416.6239
581,619.5180,541.3241
582,587.9849,498.8006
583,142.4378,124.9874
584,584.7427,540.1758
585,273.6709,250.2611
586,291.1339,290.9671
587,187.2623,166.9362
588,582.1060,544.3761
589,408.6309,416.3373
590,226.5654,208.5987
591,125.4583,125.6547
592,375.7788,375.1526
593,261.4403,251.0237
594,391.9202,334.5396
595,207.5388,209.5512
596,408.9725,335.0152
597,123.7585,125.9397
598,173.4549,167.4128
599,403.4629,335.7758
600,201.5022,210.4051
601,385.0186,335.8706
602,248.6732,251.4040
603,229.6984,209.9311
604,259.3647,311.2826
605,163.7240,195.3581
606,132.1114,156.7490
607,148.3903,180.7007
608,87.2838,108.5684
609,324.9948,398.5764
610,453.8222,543.6862
611,144.8968,181.8616
612,234.3772,291.9048
613,485.0277,583.5991
614,637.6862,771.5476
615,353.0635,440.6910
616,296.6286,368.2364
617,628.6119,735.9466
618,383.8508,480.8908
619,510.2985,629.3541
620,416.2981,520.2468
621,189.7323,223.6311
622,508.1331,633.6212
623,336.1506,410.0944
624,394.8681,487.4362
625,272.2144,337.7268
626,303.1495,376.2391
627,244.6513,302.2080
628,185.7861,228.2742
629,125.9874,149.8134
630,704.5983,751.7370
631,976.6321,916.6661
632,965.0222,918.4805
633,539.9225,587.1798
634,895.8447,921.1483
635,313.9833,336.1553
636,235.5350,252.4481
637,179.2458,167.4126
638,200.1084,210.8781
639,505.1437,504.5170
640,687.6252,629.9820
641,282.2241,295.2482
642,493.0020,504.8011
643,653.9080,676.9390
644,397.7727,421.4722
645,416.8563,420.5258
646,330.0842,338.0468
647,239.3240,252.5429
648,417.0705,421.7560
649,456.7701,463.5155
650,541.9587,549.8680
651,362.7631,379.9016
652,320.4738,338.7065
653,246.4108,254.2417
654,84.6446,84.7472
655,284.3676,296.0973
656,205.0218,212.4785
657,480.8870,507.6357
658,671.0028,549.1132
659,410.4920,424.4871
660,327.4497,339.4587
661,284.5248,297.3196
662,201.7315,212.0090
663,206.7126,212.4785
664,673.4383,634.7087
665,371.9503,383.1921
666,364.7687,381.8793
667,498.6987,511.7646
668,123.9876,127.6372
669,732.8395,764.8845
670,123.9179,127.8246
671,411.0765,426.0815
672,301.8575,299.7503
673,576.6746,597.6356
674,455.0355,470.5572
675,289.7770,299.4708
676,326.9392,341.0518
677,87.9706,85.8688
678,763.8045,767.7870
679,419.6661,427.7622
680,458.1616,471.6741
681,742.4741,770.8652
682,721.3442,729.9301
683,675.2572,688.2482
684,676.6955,599.8717
685,634.7114,645.0818
686,764.5060,771.8887
687,597.8478,604.2287
688,829.5882,820.8891
689,254.1105,258.9951
690,430.6420,432.0276
691,664.7911,688.2478
692,942.8052,861.8367
693,426.4436,432.8571
694,602.6812,603.7681
695,595.1054,604.5064
696,733.9154,739.4292
