node,Proportional,Uniform
251,165.7048,175.7476
252,620.0736,703.8878
253,547.1611,527.2425
254,668.8910,826.0296
255,351.2284,471.6976
256,372.3334,411.3741
257,371.4278,472.8888
258,270.1695,293.7105
259,445.2637,528.2899
260,613.8452,586.5234
261,218.6350,235.1776
262,399.7351,470.3552
263,628.2026,828.1132
264,336.7872,352.3926
265,657.1855,647.4466
266,2056.0263,1652.2008
267,451.2544,532.1671
268,280.8002,294.4571
269,1822.2400,1532.4526
270,573.5808,708.8127
271,378.9838,413.3124
272,400.0999,472.1447
273,446.0410,772.5455
274,157.8293,176.9427
275,335.6597,354.0340
276,281.5121,295.2023
277,378.9933,413.9079
278,874.9800,1069.2339
279,380.1553,413.4618
280,146.3107,177.3893
281,758.0812,952.8978
282,105.9150,118.2596
283,1594.7882,1839.5473
284,335.9197,415.3934
285,499.6234,534.3948
286,368.2782,717.9950
287,473.4177,595.8940
288,3299.1724,2265.7433
289,515.9753,593.6726
290,563.1692,715.0431
291,255.7688,296.6884
292,94.0804,118.7050
293,243.1010,296.9847
294,1162.4763,1128.2151
295,1135.4318,1248.9930
296,544.0934,655.0244
297,558.7663,594.5621
298,580.5820,717.5538
299,1744.3215,1437.1651
300,1641.3367,1370.5064
301,409.7157,599.2871
302,348.0498,417.0222
303,1072.3507,896.8662
304,641.5328,715.7815
305,1254.2131,1431.1192
306,4604.6160,2952.9881
307,815.5825,720.3485
308,327.7798,419.6778
309,1414.7146,1260.0578
310,492.3985,482.9231
311,572.8275,718.7317
312,254.3935,421.4407
313,531.2313,597.6657
314,741.2348,776.5384
315,123.5762,301.1128
316,254.1588,361.5696
317,545.9291,660.3335
318,895.5921,1016.4579
319,729.2248,1023.5174
320,342.1309,419.0886
321,729.4242,717.1109
322,158.2489,362.4484
323,434.4969,725.1882
324,830.7849,840.2374
325,1205.9701,1562.6417
326,632.3689,721.3787
327,183.0524,424.3654
328,945.7976,1142.3781
329,454.6344,541.0338
330,771.0232,606.0276
331,335.0330,360.3960
332,1331.9282,1623.8336
333,565.3636,600.7571
334,1047.8489,1452.2737
335,535.2749,602.9580
336,218.3943,485.4057
337,855.7834,843.0259
338,986.6396,1086.1726
339,734.4713,968.7674
340,560.1499,725.6271
341,1902.7165,1223.0490
342,326.5411,422.9049
343,942.2495,1086.1726
344,197.8353,426.4030
345,2810.6332,2130.2400
346,700.0352,1276.5908
347,578.3776,665.0237
348,708.5773,848.4382
349,360.0044,485.9881
350,382.3337,731.3080
351,1086.8273,1211.4712
352,731.3855,910.4972
353,1487.9592,1398.8091
354,693.7037,788.2711
355,460.4380,484.6762
356,416.7404,735.0748
357,1180.2233,1461.3062
358,532.4415,731.3075
359,454.0996,485.4057
360,594.1552,853.6767
361,1251.1112,1517.2535
362,513.4642,546.5909
363,633.0364,1041.5724
364,757.5818,1100.4412
365,352.3333,552.1012
366,835.1695,976.6254
367,827.9853,1162.2041
368,3137.2898,2455.8671
369,455.6775,487.7322
370,817.7893,975.6079
371,667.0291,1044.1706
372,764.9946,978.5080
373,930.7629,980.2432
374,1104.1608,1469.7152
375,706.4076,733.3376
376,546.8955,1110.9698
377,932.5966,1041.5706
378,1419.3264,1903.7750
379,1020.5748,1724.2612
380,639.3532,1108.9584
381,439.5470,742.2720
382,535.3362,865.9366
383,1221.0055,1476.6424
384,384.7435,681.3724
385,826.1312,862.3475
386,981.1860,1234.0604
387,233.9417,433.8999
388,995.9599,1170.8623
389,292.6151,497.0907
390,665.1063,1303.9839
391,4360.1471,3656.3225
392,521.0172,992.6087
393,673.4919,866.9404
394,275.8996,685.2283
395,100.2556,436.8957
396,871.9125,1179.1786
397,60.5223,312.5147
398,1078.7468,1491.8397
399,775.0636,1243.3643
400,632.1020,1061.9248
401,511.2182,809.7473
402,347.7924,688.0711
403,1172.7237,1364.8888
404,22.5070,250.7494
405,551.6901,1062.3506
406,18.7826,376.6900
407,82.4656,502.4887
408,710.5674,873.2213
409,3468.0878,2873.5287
410,30.6957,503.7600
411,431.5398,816.1346
412,574.5237,1255.5815
413,466.5756,624.7447
